央视频道,#genre#
CCTV1,http://39.134.115.163:8080/PLTV/88888910/224/3221225618/index.m3u8
CCTV1,http://39.134.115.163:8080/PLTV/88888910/224/3221225642/index.m3u8
CCTV1,http://39.135.138.59:18890/PLTV/88888910/224/3221225630/index.m3u8
CCTV2,http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8$蓝光
CCTV2,http://39.134.115.163:8080/PLTV/88888910/224/3221225643/index.m3u8$蓝光8M
CCTV3,http://39.134.115.163:8080/PLTV/88888910/224/3221225647/index.m3u8$蓝光4M
CCTV3,http://39.134.115.163:8080/PLTV/88888910/224/3221225634/index.m3u8$蓝光8M
CCTV4,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8$蓝光
CCTV5,http://39.134.115.163:8080/PLTV/88888910/224/3221225648/index.m3u8$蓝光4M
CCTV5,http://39.134.115.163:8080/PLTV/88888910/224/3221225633/index.m3u8$蓝光8M
CCTV5+,http://39.134.115.163:8080/PLTV/88888910/224/3221225649/index.m3u8$蓝光
CCTV5+,http://39.134.115.163:8080/PLTV/88888910/224/3221225706/index.m3u8$蓝光8M
CCTV6,http://39.134.115.163:8080/PLTV/88888910/224/3221225650/index.m3u8$蓝光4M
CCTV6,http://39.134.115.163:8080/PLTV/88888910/224/3221225632/index.m3u8$蓝光8M
CCTV7,http://39.134.115.163:8080/PLTV/88888910/224/3221225624/index.m3u8$蓝光
CCTV7,http://39.134.115.163:8080/PLTV/88888910/224/3221225644/index.m3u8$蓝光8M
CCTV8,http://39.134.115.163:8080/PLTV/88888910/224/3221225635/index.m3u8$蓝光4M
CCTV8,http://39.134.115.163:8080/PLTV/88888910/224/3221225631/index.m3u8$蓝光8M
CCTV9,http://39.134.115.163:8080/PLTV/88888910/224/3221225646/index.m3u8$蓝光8M
CCTV9,http://39.134.115.163:8080/PLTV/88888910/224/3221225626/index.m3u8$蓝光
CCTV10,http://39.134.115.163:8080/PLTV/88888910/224/3221225627/index.m3u8$蓝光
CCTV10,http://39.134.115.163:8080/PLTV/88888910/224/3221225636/index.m3u8$蓝光8M
CCTV11,http://39.134.115.163:8080/PLTV/88888910/224/3221225628/index.m3u8$蓝光
CCTV12,http://39.134.115.163:8080/PLTV/88888910/224/3221225629/index.m3u8$蓝光
CCTV12,http://39.134.115.163:8080/PLTV/88888910/224/3221225637/index.m3u8$蓝光8M
CCTV13,http://39.134.115.163:8080/PLTV/88888910/224/3221225638/index.m3u8$蓝光
CCTV14,http://39.134.115.163:8080/PLTV/88888910/224/3221225639/index.m3u8$蓝光
CCTV14,http://39.134.115.163:8080/PLTV/88888910/224/3221225640/index.m3u8$蓝光8M
CCTV15,http://39.134.115.163:8080/PLTV/88888910/224/3221225641/index.m3u8$蓝光
CCTV16奥林匹克,http://newvideo.dangtutv.cn:8278/CCTVsports/playlist.m3u8
CCTV17,http://39.134.115.163:8080/PLTV/88888910/224/3221225908/index.m3u8$蓝光4M
中国教育1台,http://39.134.115.163:8080/PLTV/88888910/224/3221225661/index.m3u8$蓝光
中国教育1台,http://39.135.138.59:18890/PLTV/88888910/224/3221225661/index.m3u8
中国教育4台,http://39.135.138.59:18890/PLTV/88888910/224/3221225937/index.m3u8
CGTN,http://39.135.138.59:18890/PLTV/88888910/224/3221225747/index.m3u8
CGTN纪录,http://39.135.138.59:18890/PLTV/88888910/224/3221225645/index.m3u8

卫视频道,#genre#
北京卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225673/index.m3u8$蓝光
北京卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225674/index.m3u8$蓝光8M
北京卫视,http://117.169.124.37:6610/ysten-businessmobile/live/beijingstv/yst.m3u8
浙江卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225744/index.m3u8$蓝光
浙江卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225703/index.m3u8$蓝光8M
浙江卫视,http://117.169.124.37:6610/ysten-businessmobile/live/zhejiangstv/yst.m3u8
湖南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225745/index.m3u8$蓝光
湖南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225704/index.m3u8$蓝光8M
湖南卫视,http://117.169.124.37:6610/ysten-businessmobile/live/hunanstv/1.m3u8
东方卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225658/index.m3u8$蓝光
东方卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225659/index.m3u8$蓝光8M
东方卫视,http://117.169.124.37:6610/ysten-businessmobile/live/dongfangstv/yst.m3u8
江苏卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225743/index.m3u8$蓝光
江苏卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225702/index.m3u8$蓝光8M
江苏卫视,http://117.169.124.37:6610/ysten-businessmobile/live/jiangsustv/yst.m3u8
东南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225657/index.m3u8$蓝光
东南卫视,http://117.169.124.37:6610/ysten-businessmobile/live/dongnanstv/yst.m3u8
江西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225746/index.m3u8$蓝光
江西卫视,http://39.135.140.198:6610/PLTV/88888910/224/3221225705/index.m3u8
江西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225705/index.m3u8$蓝光8M
江西卫视,http://117.169.124.37:6610/ysten-businessmobile/live/jiangxistv/yst.m3u8
河北卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225732/index.m3u8$蓝光
河北卫视,http://117.169.124.37:6610/ysten-businessmobile/live/hebeistv/yst.m3u8
