央视频道,#genre#
CCTV1,http://39.134.115.163:8080/PLTV/88888910/224/3221225642/index.m3u8$蓝光8M
CCTV1,http://39.134.115.163:8080/PLTV/88888910/224/3221225618/index.m3u8$蓝光
CCTV1,http://39.135.138.59:18890/PLTV/88888910/224/3221225618/index.m3u8
CCTV1,http://39.135.138.59:18890/PLTV/88888910/224/3221225762/index.m3u8
CCTV1,http://39.135.138.59:18890/PLTV/88888910/224/3221225918/index.m3u8
CCTV1,http://39.135.138.59:18890/PLTV/88888910/224/3221225630/index.m3u8
CCTV1,http://39.135.138.59:18890/PLTV/88888910/224/3221225642/index.m3u8
CCTV2,http://39.134.115.163:8080/PLTV/88888910/224/3221225643/index.m3u8$蓝光8M
CCTV2,http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8$蓝光
CCTV2,http://39.135.138.59:18890/PLTV/88888910/224/3221225619/index.m3u8
CCTV2,http://39.135.138.59:18890/PLTV/88888910/224/3221225819/index.m3u8
CCTV2,http://39.135.138.59:18890/PLTV/88888910/224/3221225643/index.m3u8
CCTV2,http://39.135.138.59:18890/PLTV/88888910/224/3221225820/index.m3u8
CCTV2,http://39.135.138.59:18890/PLTV/88888910/224/3221225893/index.m3u8
CCTV2,http://117.169.124.36:6610/ysten-businessmobile/live/CCTV-2/1.m3u8
CCTV3,http://39.134.115.163:8080/PLTV/88888910/224/3221225634/index.m3u8$蓝光8M
CCTV3,http://39.134.115.163:8080/PLTV/88888910/224/3221225647/index.m3u8$蓝光4M
CCTV3,http://39.135.138.59:18890/PLTV/88888910/224/3221225647/index.m3u8
CCTV3,http://39.135.138.59:18890/PLTV/88888910/224/3221225792/index.m3u8
CCTV3,http://39.135.138.59:18890/PLTV/88888910/224/3221225634/index.m3u8
CCTV3,http://39.135.138.59:18890/PLTV/88888910/224/3221225791/index.m3u8
CCTV3,http://39.135.138.59:18890/PLTV/88888910/224/3221225807/index.m3u8
CCTV3,http://117.169.124.36:6610/ysten-businessmobile/live/CCTV-3/1.m3u8
CCTV4,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8$蓝光
CCTV4,http://39.135.138.59:18890/PLTV/88888910/224/3221225621/index.m3u8
CCTV4,http://39.135.138.59:18890/PLTV/88888910/224/3221225842/index.m3u8
CCTV4,http://39.135.138.59:18890/PLTV/88888910/224/3221225841/index.m3u8
